reference,position,modification_type
16s_88_rrsE,716,mod
16s_88_rrsE,727,mod
16s_88_rrsE,1166,mod
16s_88_rrsE,1167,mod
16s_88_rrsE,1407,mod
16s_88_rrsE,1602,mod
16s_88_rrsE,1607,mod
16s_88_rrsE,1698,mod
16s_88_rrsE,1716,mod
16s_88_rrsE,1718,mod
16s_88_rrsE,1719,mod
23s_78_rrlB,945,mod
23s_78_rrlB,946,mod
23s_78_rrlB,947,mod
23s_78_rrlB,1155,mod
23s_78_rrlB,1818,mod
23s_78_rrlB,2035,mod
23s_78_rrlB,2111,mod
23s_78_rrlB,2115,mod
23s_78_rrlB,2117,mod
23s_78_rrlB,2139,mod
23s_78_rrlB,2162,mod
23s_78_rrlB,2230,mod
23s_78_rrlB,2269,mod
23s_78_rrlB,2451,mod
23s_78_rrlB,2645,mod
23s_78_rrlB,2649,mod
23s_78_rrlB,2657,mod
23s_78_rrlB,2698,mod
23s_78_rrlB,2701,mod
23s_78_rrlB,2703,mod
23s_78_rrlB,2704,mod
23s_78_rrlB,2752,mod
23s_78_rrlB,2780,mod
23s_78_rrlB,2804,mod
23s_78_rrlB,2805,mod
