sample,fastq,type,replicate,fast5_dir,target
native_16s_rep1,/home/bmorampa/covbench/results_all_tools_16S/filtlong/native/70x/native_16s_1_70x_filtlong.fastq.gz,native,rep1,/home/bmorampa/k12_native_fast5,16s
ivt_16s_rep1,/home/bmorampa/covbench/results_all_tools_16S/filtlong/ivt/70x/ivt_16S_1_70x_filtlong.fastq.gz,ivt,rep1,/home/bmorampa/k12_ivt_fast5,16s
native_23s_rep1,/home/bmorampa/covbench/results_all_tools_23S/filtlong/native/70x/native_23S_1_70x_filtlong.fastq.gz,native,rep1,/home/bmorampa/k12_native_fast5,23s
ivt_23s_rep1,/home/bmorampa/covbench/results_all_tools_23S/filtlong/ivt/70x/ivt_23S_1_70x_filtlong.fastq.gz,ivt,rep1,/home/bmorampa/k12_ivt_fast5,23s
native_16s_rep2,/home/bmorampa/covbench/results_all_tools_16S/filtlong/native/70x/native_16s_2_70x_filtlong.fastq.gz,native,rep2,/home/bmorampa/k12_native_fast5,16s
ivt_16s_rep2,/home/bmorampa/covbench/results_all_tools_16S/filtlong/ivt/70x/ivt_16S_2_70x_filtlong.fastq.gz,ivt,rep2,/home/bmorampa/k12_ivt_fast5,16s
native_23s_rep2,/home/bmorampa/covbench/results_all_tools_23S/filtlong/native/70x/native_23S_2_70x_filtlong.fastq.gz,native,rep2,/home/bmorampa/k12_native_fast5,23s
ivt_23s_rep2,/home/bmorampa/covbench/results_all_tools_23S/filtlong/ivt/70x/ivt_23S_2_70x_filtlong.fastq.gz,ivt,rep2,/home/bmorampa/k12_ivt_fast5,23s
native_16s_rep3,/home/bmorampa/covbench/results_all_tools_16S/filtlong/native/70x/native_16s_3_70x_filtlong.fastq.gz,native,rep3,/home/bmorampa/k12_native_fast5,16s
ivt_16s_rep3,/home/bmorampa/covbench/results_all_tools_16S/filtlong/ivt/70x/ivt_16S_3_70x_filtlong.fastq.gz,ivt,rep3,/home/bmorampa/k12_ivt_fast5,16s
native_23s_rep3,/home/bmorampa/covbench/results_all_tools_23S/filtlong/native/70x/native_23S_3_70x_filtlong.fastq.gz,native,rep3,/home/bmorampa/k12_native_fast5,23s
ivt_23s_rep3,/home/bmorampa/covbench/results_all_tools_23S/filtlong/ivt/70x/ivt_23S_3_70x_filtlong.fastq.gz,ivt,rep3,/home/bmorampa/k12_ivt_fast5,23s
